,precip
1916-01-22,0.0
1916-01-23,0.0
1916-01-24,0.47499999404
1916-01-25,3.15000009537
1916-01-26,4.5
1916-01-27,6.52500009537
1916-01-28,3.27500009537
1916-01-29,2.17499995232
1916-01-30,1.0
1916-01-31,1.0
1916-02-01,0.20000000298
1916-02-02,0.925000011921
1916-02-03,0.300000011921
1916-02-04,5.19999980927
1916-02-05,0.0
1916-02-06,0.0
1916-02-07,0.0
1916-02-08,1.22500002384
1916-02-09,0.0
1916-02-10,0.0
1916-02-11,0.0
1916-02-12,0.0
1916-02-13,0.0
1916-02-14,0.0
1916-02-15,0.0
1916-02-16,0.0
1916-02-17,0.0
1916-02-18,0.0
1916-02-19,0.0
1916-02-20,0.0
1916-02-21,0.649999976158
1916-02-22,0.22499999404
1916-02-23,0.0
1916-02-24,0.0
1916-02-25,0.0
1916-02-26,0.75
1916-02-27,10.625
1916-02-28,1.07500004768
1916-02-29,1.92499995232
1916-03-01,3.97499990463
1916-03-02,0.0
1916-03-03,0.0
1916-03-04,2.59999990463
1916-03-05,0.975000023842
1916-03-06,0.0
1916-03-07,0.0
1916-03-08,0.0
1916-03-09,0.0
1916-03-10,0.0
1916-03-11,0.0
1916-03-12,0.0
1916-03-13,0.0
1916-03-14,0.0
1916-03-15,0.0
1916-03-16,0.0
1916-03-17,0.0
1916-03-18,0.40000000596
1916-03-19,0.0
1916-03-20,10.8000001907
1916-03-21,0.0
1916-03-22,0.0
1916-03-23,5.92500019073
1916-03-24,0.0
1916-03-25,0.0
1916-03-26,0.0
1916-03-27,0.0
1916-03-28,0.300000011921
1916-03-29,0.0
1916-03-30,0.0
1916-03-31,0.0
1916-04-01,0.0
1916-04-02,0.524999976158
1916-04-03,1.35000002384
1916-04-04,0.0
1916-04-05,0.0
1916-04-06,0.0
1916-04-07,0.0
1916-04-08,0.0
1916-04-09,0.0
1916-04-10,0.25
1916-04-11,0.0
1916-04-12,0.0
1916-04-13,0.0
1916-04-14,0.0
1916-04-15,0.0
1916-04-16,0.0
1916-04-17,0.0250000003725
1916-04-18,1.22500002384
1916-04-19,0.0
1916-04-20,0.0
1916-04-21,0.0
1916-04-22,0.0
1916-04-23,0.0
1916-04-24,0.0
1916-04-25,0.0
1916-04-26,0.0
1916-04-27,0.0
1916-04-28,0.0
1916-04-29,0.0
1916-04-30,0.0
1916-05-01,0.0
1916-05-02,0.0
1916-05-03,0.0
1916-05-04,0.0
1916-05-05,0.0
1916-05-06,0.0
1916-05-07,0.0
1916-05-08,0.0
1916-05-09,0.0
1916-05-10,0.0
1916-05-11,0.0
1916-05-12,0.0
1916-05-13,0.0
1916-05-14,0.0
1916-05-15,0.0
1916-05-16,0.0
1916-05-17,0.0
1916-05-18,2.42499995232
1916-05-19,1.32500004768
1916-05-20,0.0
1916-05-21,0.0
1916-05-22,0.0
1916-05-23,0.449999988079
1916-05-24,8.125
1916-05-25,0.0
1916-05-26,0.0
1916-05-27,0.0
1916-05-28,0.0
1916-05-29,0.0
1916-05-30,0.0
1916-05-31,0.0
1916-06-01,4.17500019073
1916-06-02,0.0
1916-06-03,0.0
1916-06-04,0.0
1916-06-05,0.0
1916-06-06,0.0
1916-06-07,0.0
1916-06-08,0.0
1916-06-09,0.0
1916-06-10,0.0
1916-06-11,0.0
1916-06-12,0.0
1916-06-13,0.0
1916-06-14,0.0
1916-06-15,0.0
1916-06-16,0.0
1916-06-17,0.0
1916-06-18,0.0
1916-06-19,0.0
1916-06-20,0.300000011921
1916-06-21,0.524999976158
1916-06-22,0.0
